Link	Mark	Placement_date	Price	Title	VIN	Views	Владельцы	Госномер	Двигатель	Коробка	Кузов	Налог	ПТС	Привод	Пробег	Руль	Состояние	Таможня	Цвет	год выпуска	Владение	Кузов №	Обмен	Гарантия	Запас хода
https://auto.ru/cars/used/sale/bmw/m8/1103499355-a34f82f6/	BMW	5 июня	12 900 000 ₽	BMW M8 Gran Coupe I (F91/F92/F93) Competition	WBS**************	593 (593 сегодня)	1 владелец		4.4 л / 625 л.с. / Бензин	автоматическая	седан	281 250 ₽ / год	Оригинал	полный	10 634 км	Левый	Не требует ремонта	Растаможен	чёрный	2020			Рассмотрю варианты	До июля 2023	
https://auto.ru/cars/used/sale/kia/carnival/1103574872-4f0c62a1/	Kia	4 июня	2 450 000 ₽	Kia Carnival III	KNH**************	392 (201 сегодня)	1 владелец		2.2 л / 202 л.с. / Дизель	автоматическая	минивэн	13 130 ₽ / год	Оригинал	передний	25 000 км	Левый	Не требует ремонта	Растаможен	чёрный	2020	2 месяца		Рассмотрю варианты		
https://auto.ru/cars/used/sale/chevrolet/tahoe/1102604973-e494a446/	Chevrolet	4 июня	2 595 000 ₽	Chevrolet Tahoe IV	Y3W**************	735 (319 сегодня)	2 владельца		6.2 л / 409 л.с. / Бензин	автоматическая	внедорожник 5 дв.	61 350 ₽ / год	Оригинал	полный	69 000 км	Левый	Не требует ремонта	Растаможен	белый	2015			Рассмотрю варианты		
https://auto.ru/cars/used/sale/bentley/continental_flying_spur/1103715147-eb9fd928/	Bentley	4 июня	1 600 000 ₽	Bentley Continental Flying Spur	SCB**************	253 (132 сегодня)	3 или более	******|123	6.0 л / 560 л.с. / Бензин	автоматическая	седан	84 000 ₽ / год	Оригинал	полный	110 000 км	Левый	Не требует ремонта	Растаможен	голубой	2006	3 года и 2 месяца				
https://auto.ru/cars/used/sale/jaguar/xe/1103504088-2e133548/	Jaguar	4 июня	1 299 000 ₽	Jaguar XE I	SAJ**************	1583 (648 сегодня)	3 или более		2.0 л / 240 л.с. / Бензин	автоматическая	седан	18 000 ₽ / год	Оригинал	задний	96 949 км	Левый	Не требует ремонта	Растаможен	белый	2015			Рассмотрю варианты		
https://auto.ru/cars/used/sale/nissan/patrol/1103645035-bda9fd61/	Nissan	5 июня	1 599 000 ₽	Nissan Patrol VI (Y62)	JN1**************	86 (86 сегодня)	2 владельца		5.6 л / 405 л.с. / Бензин	автоматическая	внедорожник 5 дв.	60 750 ₽ / год	Оригинал	полный	117 213 км	Левый	Не требует ремонта	Растаможен	чёрный	2012			Рассмотрю варианты		
https://auto.ru/cars/used/sale/volkswagen/passat_cc/1101351217-9f13b513/	Volkswagen	5 июня	949 000 ₽	Volkswagen Passat CC I Рестайлинг	WVW**************	214 (214 сегодня)	1 владелец		2.0 л / 170 л.с. / Дизель	роботизированная	седан	7 650 ₽ / год	Оригинал	передний	92 000 км	Левый	Не требует ремонта	Растаможен	белый	2014			Рассмотрю варианты		
https://auto.ru/cars/used/sale/citroen/ds5/1103748821-756c3a6e/	Citroen	4 июня	939 000 ₽	Citroen DS5	VF7**************	503 (219 сегодня)	3 или более		2.0 л / 163 л.с. / Дизель	автоматическая	хэтчбек 5 дв.	7 335 ₽ / год	Дубликат	передний	142 320 км	Левый	Не требует ремонта	Растаможен	серый	2012			Рассмотрю варианты		
https://auto.ru/cars/used/sale/mercedes/s_class_maybach/1103393217-c5203088/	Mercedes-Benz	4 июня	3 950 000 ₽	Mercedes-Benz Maybach S-Класс  I (X222) 500	WDD**************	192 (101 сегодня)	3 или более	******|777	4.7 л / 455 л.с. / Бензин	автоматическая	седан	68 250 ₽ / год	Дубликат	задний	139 000 км	Левый	Не требует ремонта	Растаможен	чёрный	2015					
https://auto.ru/cars/used/sale/bentley/continental_gt/1103661869-5623c1cf/	Bentley	31 мая	18 900 000 ₽	Bentley Continental GT III	SCB**************	1496 (100 сегодня)	1 владелец	******|77	6.0 л / 635 л.с. / Бензин	роботизированная	купе	285 750 ₽ / год	Оригинал	полный	33 700 км	Левый	Не требует ремонта	Растаможен	синий	2019				До сентября 2022	
